"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"28.21Z";"28.21";"28.2";"28";"C28";"C";"Fabrication de fours et brûleurs"
"28.22Z";"28.22";"28.2";"28";"C28";"C";"Fabrication de matériel de levage et de manutention"
"28.23Z";"28.23";"28.2";"28";"C28";"C";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)"
"28.24Z";"28.24";"28.2";"28";"C28";"C";"Fabrication d'outillage portatif à moteur incorporé"
"28.25Z";"28.25";"28.2";"28";"C28";"C";"Fabrication d'équipements aérauliques et frigorifiques industriels"
"28.29A";"28.29";"28.2";"28";"C28";"C";"Fabrication d'équipements d'emballage, de conditionnement et de pesage"
"28.29B";"28.29";"28.2";"28";"C28";"C";"Fabrication d'autres machines d'usage général"
"28.30Z";"28.30";"28.3";"28";"C28";"C";"Fabrication de machines agricoles et forestières"
"28.41Z";"28.41";"28.4";"28";"C28";"C";"Fabrication de machines-outils pour le travail des métaux"
"28.49Z";"28.49";"28.4";"28";"C28";"C";"Fabrication d'autres machines-outils"
"28.91Z";"28.91";"28.9";"28";"C28";"C";"Fabrication de machines pour la métallurgie"
"28.92Z";"28.92";"28.9";"28";"C28";"C";"Fabrication de machines pour l'extraction ou la construction"
"28.93Z";"28.93";"28.9";"28";"C28";"C";"Fabrication de machines pour l'industrie agro-alimentaire"
"28.94Z";"28.94";"28.9";"28";"C28";"C";"Fabrication de machines pour les industries textiles"
"28.95Z";"28.95";"28.9";"28";"C28";"C";"Fabrication de machines pour les industries du papier et du carton"
"28.96Z";"28.96";"28.9";"28";"C28";"C";"Fabrication de machines pour le travail du caoutchouc ou des plastiques"
"28.99A";"28.99";"28.9";"28";"C28";"C";"Fabrication de machines d'imprimerie"
"28.99B";"28.99";"28.9";"28";"C28";"C";"Fabrication d'autres machines spécialisées"
"29.10Z";"29.10";"29.1";"29";"C29";"C";"Construction de véhicules automobiles"
"29.20Z";"29.20";"29.2";"29";"C29";"C";"Fabrication de carrosseries et remorques"
