"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"26.40Z";"Fabrication de produits électroniques grand publi";"";"Manufacture of other electronic products";"d";3
"26.51A";"Fabrication d'équipements d'aide à la navigati";"260020";"Manufacture of other electronic products";"d";3
"26.51B";"Fabrication d'instrumentation scientifique et technique";"260020";"Manufacture of other electronic products";"d";3
"26.52Z";"Horlogerie";"260020";"Manufacture of other electronic products";"d";3
"26.60Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérape";"260020";"Manufacture of other electronic products";"d";3
"26.70Z";"Fabrication de matériels optique et photographiqu";"260020";"Manufacture of other electronic products";"d";3
"26.80Z";"Fabrication de supports magnétiques et optique";"260020";"Manufacture of other electronic products";"d";3
"27.11Z";"Fabrication de moteurs, génératrices et transformateurs électriq";"270010";"Manufacture of electric motors, etc.";"";2
"27.12Z";"Fabrication de matériel de distribution et de commande électriq";"270010";"Manufacture of electric motors, etc.";"";2
"27.20Z";"Fabrication de piles et d'accumulateurs électrique";"270010";"Manufacture of electric motors, etc.";"";2
"27.31Z";"Fabrication de câbles de fibres optique";"270020";"Manufacture of wires and cables";"";2
"27.32Z";"Fabrication d'autres fils et câbles électroniques ou électriq";"270020";"Manufacture of wires and cables";"";2
"27.33Z";"Fabrication de matériel d'installation électriq";"270020";"Manufacture of wires and cables";"";2
"27.40Z";"Fabrication d'appareils d'éclairage électriq";"270030";"Manufacture of household appliances, lamps, etc.";"";2
"27.51Z";"Fabrication d'appareils électroménage";"270030";"Manufacture of household appliances, lamps, etc.";"";2
"27.52Z";"Fabrication d'appareils ménagers non électriqu";"270030";"Manufacture of household appliances, lamps, etc.";"";2
"27.90Z";"Fabrication d'autres matériels électriqu";"270030";"Manufacture of household appliances, lamps, etc.";"";2
"28.11Z";"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicul";"280010";"Manufacture of engines, windmills and pumps";"";2
"28.12Z";"Fabrication d'équipements hydrauliques et pneumatique";"280010";"Manufacture of engines, windmills and pumps";"d";3
"28.13Z";"Fabrication d'autres pompes et compresseurs";"280010";"Manufacture of engines, windmills and pumps";"";2
"28.14Z";"Fabrication d'autres articles de robinetterie";"280010";"Manufacture of engines, windmills and pumps";"d";3
"28.15Z";"Fabrication d'engrenages et d'organes mécaniques de transmissio";"280010";"Manufacture of engines, windmills and pumps";"d";3
"28.21Z";"Fabrication de fours et brûleur";"280020";"Manufacture of other machinery";"";2
"28.22Z";"Fabrication de matériel de levage et de manutentio";"280020";"Manufacture of other machinery";"";2
"28.23Z";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphéri";"280020";"Manufacture of other machinery";"";2
"28.24Z";"Fabrication d'outillage portatif à moteur incorpor";"280020";"Manufacture of other machinery";"";2
"28.25Z";"Fabrication d'équipements aérauliques et frigorifiques industrie";"280020";"Manufacture of other machinery";"";2
"28.29A";"Fabrication d'équipements d'emballage, de conditionnement et de pesag";"280020";"Manufacture of other machinery";"";2
"28.29B";"Fabrication d'autres machines d'usage génér";"280020";"Manufacture of other machinery";"";2
"28.30Z";"Fabrication de machines agricoles et forestière";"280020";"Manufacture of other machinery";"";2
"28.41Z";"Fabrication de machines-outils pour le travail des métau";"280020";"Manufacture of other machinery";"";2
"28.49Z";"Fabrication d'autres machines-outils";"280020";"Manufacture of other machinery";"";2
"28.91Z";"Fabrication de machines pour la métallurgi";"280020";"Manufacture of other machinery";"";2
"28.92Z";"Fabrication de machines pour l'extraction ou la construction";"280020";"Manufacture of other machinery";"";2
"28.93Z";"Fabrication de machines pour l'industrie agro-alimentaire";"280020";"Manufacture of other machinery";"";2
"28.94Z";"Fabrication de machines pour les industries textiles";"280020";"Manufacture of other machinery";"";2
"28.95Z";"Fabrication de machines pour les industries du papier et du carton";"280020";"Manufacture of other machinery";"";2
"28.96Z";"Fabrication de machines pour le travail du caoutchouc ou des plastiques";"280020";"Manufacture of other machinery";"";2
"28.99A";"Fabrication de machines d'imprimerie";"280020";"Manufacture of other machinery";"";2
"28.99B";"Fabrication d'autres machines spécialisé";"280020";"Manufacture of other machinery";"";2
"29.10Z";"Construction de véhicules automobile";"290000";"Manufacture of motor vehicles and related parts";"";4
"29.20Z";"Fabrication de carrosseries et remorques";"290000";"Manufacture of motor vehicles and related parts";"";4
"29.31Z";"Fabrication d'équipements électriques et électroniques automobi";"290000";"Manufacture of motor vehicles and related parts";"";4
"29.32Z";"Fabrication d'autres équipements automobile";"290000";"Manufacture of motor vehicles and related parts";"";4
"30.11Z";"Construction de navires et de structures flottantes";"300000";"Manufacture of ships and other transport equipment";"";4
"30.12Z";"Construction de bateaux de plaisance";"300000";"Manufacture of ships and other transport equipment";"";4
"30.20Z";"Construction de locomotives et d'autre matériel ferroviaire roulan";"300000";"Manufacture of ships and other transport equipment";"";4
"30.30Z";"Construction aéronautique et spatial";"300000";"Manufacture of ships and other transport equipment";"";4
"30.40Z";"Construction de véhicules militaires de comba";"300000";"Manufacture of ships and other transport equipment";"";4
"30.91Z";"Fabrication de motocycles";"300000";"Manufacture of ships and other transport equipment";"";4
"30.92Z";"Fabrication de bicyclettes et de véhicules pour invalide";"300000";"Manufacture of ships and other transport equipment";"";4
"30.99Z";"Fabrication d'autres équipements de transport n.c.a";"300000";"Manufacture of ships and other transport equipment";"";4
"31.01Z";"Fabrication de meubles de bureau et de magasin";"310000";"Manufacture of furniture";"";4
"31.02Z";"Fabrication de meubles de cuisine";"310000";"Manufacture of furniture";"";4
"31.03Z";"Fabrication de matelas";"310000";"Manufacture of furniture";"";4
"31.09A";"Fabrication de sièges d'ameublement d'intérie";"310000";"Manufacture of furniture";"";4
"31.09B";"Fabrication d'autres meubles et industries connexes de l'ameublement";"310000";"Manufacture of furniture";"";4
"32.11Z";"Frappe de monnaie";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.12Z";"Fabrication d'articles de joaillerie et bijouterie";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.13Z";"Fabrication d'articles de bijouterie fantaisie et articles similaires";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.20Z";"Fabrication d'instruments de musique";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.30Z";"Fabrication d'articles de sport";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.40Z";"Fabrication de jeux et jouets";"320020";"Manufacture of toys and other manufacturing";"d";3
"32.50A";"Fabrication de matériel médico-chirurgical et dentai";"320010";"Manufacture of medical instruments, etc.";"";2
