"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","46.76Z","PRD",104,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres produits intermédiaires"
"2022","46.77Z","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de déchets et débris"
"2022","46.77Z","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de déchets et débris"
"2022","46.77Z","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de déchets et débris"
"2022","46.90Z","GVA",80,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) non spécialisé"
"2022","46.90Z","PRD",103,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) non spécialisé"
"2022","46.90Z","IC",129,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) non spécialisé"
"2022","47.11A","IC",114,2.9,"GCO2E_EUR","Commerce de détail de produits surgelés"
"2022","47.11A","GVA",82,2.9,"GCO2E_EUR","Commerce de détail de produits surgelés"
"2022","47.11A","PRD",95,2.9,"GCO2E_EUR","Commerce de détail de produits surgelés"
"2022","47.11B","GVA",82,2.9,"GCO2E_EUR","Commerce d'alimentation générale"
"2022","47.11B","IC",114,2.9,"GCO2E_EUR","Commerce d'alimentation générale"
"2022","47.11B","PRD",95,2.9,"GCO2E_EUR","Commerce d'alimentation générale"
"2022","47.11C","IC",114,2.9,"GCO2E_EUR","Supérettes"
"2022","47.11C","GVA",82,2.9,"GCO2E_EUR","Supérettes"
"2022","47.11C","PRD",95,2.9,"GCO2E_EUR","Supérettes"
"2022","47.11D","PRD",95,2.9,"GCO2E_EUR","Supermarchés"
"2022","47.11D","IC",114,2.9,"GCO2E_EUR","Supermarchés"
"2022","47.11D","GVA",82,2.9,"GCO2E_EUR","Supermarchés"
"2022","47.11E","GVA",84,2.9,"GCO2E_EUR","Magasins multi-commerces"
"2022","47.11E","IC",107,2.9,"GCO2E_EUR","Magasins multi-commerces"
"2022","47.11E","PRD",94,2.9,"GCO2E_EUR","Magasins multi-commerces"
"2022","47.11F","IC",107,2.9,"GCO2E_EUR","Hypermarchés"
"2022","47.11F","GVA",84,2.9,"GCO2E_EUR","Hypermarchés"
"2022","47.11F","PRD",94,2.9,"GCO2E_EUR","Hypermarchés"
"2022","47.19A","GVA",84,2.9,"GCO2E_EUR","Grands magasins"
"2022","47.19A","PRD",94,2.9,"GCO2E_EUR","Grands magasins"
"2022","47.19A","IC",107,2.9,"GCO2E_EUR","Grands magasins"
"2022","47.19B","GVA",83,3.7,"GCO2E_EUR","Autres commerces de détail en magasin non spécialisé"
